,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
71,Gonzo,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,144013,0,0.388,0.471,0.434,0.753,0.121,-9.602,0.0331,63.335,4
72,(I Don't Know Why) But I Do,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,139546,0,0.536,0.656,0.541,0.0,0.285,-5.628,0.028,109.726,4
73,Travelin' Man,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,140840,0,0.67,0.739,0.421,0.0,0.141,-9.519,0.0334,123.21,4
74,Desafinado,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,348880,0,0.727,0.568,0.428,0.0952,0.131,-14.765,0.0858,88.116,4
75,Hey! Baby - Single Version,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,142213,0,0.393,0.624,0.6,0.0,0.205,-7.115,0.0376,129.385,4
76,Rinky Dink,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,170813,0,0.0426,0.755,0.642,0.895,0.0397,-6.38,0.0489,112.653,4
77,Swingin' Gently,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,160573,0,0.689,0.66,0.538,0.825,0.0977,-10.53,0.0296,102.098,4
78,Fly Me To The Moon,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,142626,0,0.609,0.663,0.472,0.0633,0.203,-10.332,0.0473,87.731,4
79,Something's Got A Hold On Me,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,166466,0,0.621,0.466,0.577,0.0,0.423,-5.895,0.103,153.689,4
80,Comin' Home Baby,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,163026,0,0.541,0.643,0.535,0.0,0.216,-8.137,0.0453,142.439,4
81,Bill Bailey Won't You Please Come Home,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,203373,0,0.386,0.595,0.672,0.0,0.928,-3.798,0.0626,132.537,4
82,Wives And Lovers,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,148706,0,0.712,0.411,0.63,0.0,0.392,-8.095,0.0417,128.677,3
83,King Of The Road,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,145293,0,0.689,0.699,0.351,0.0,0.112,-10.483,0.0535,119.594,4
84,You're Nobody 'Til Somebody Loves You,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,116853,0,0.772,0.462,0.558,0.0,0.393,-7.432,0.0372,108.5,4
85,You Never Can Tell,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,161333,0,0.639,0.586,0.875,1.17e-05,0.283,-8.219,0.124,157.306,4
86,I Only Want To Be With You,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,154946,0,0.216,0.587,0.827,0.0,0.226,-4.233,0.0348,132.913,4
87,That's The Way Boys Are,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,133653,0,0.687,0.492,0.644,1.88e-05,0.103,-6.501,0.0342,125.934,4
88,Talking About My Baby,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,150120,0,0.512,0.567,0.576,0.0,0.0751,-8.089,0.177,130.259,4
89,Selfish One,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,196853,0,0.411,0.596,0.542,0.0,0.499,-7.516,0.0383,116.495,4
90,Do Wah Diddy Diddy,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,141640,0,0.265,0.646,0.668,0.0,0.0688,-4.482,0.0479,125.677,4
91,Shotgun,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,183880,0,0.0315,0.722,0.554,0.000856,0.14,-7.763,0.0351,120.297,4
92,Ain't That Peculiar,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,178600,0,0.556,0.56,0.79,0.0,0.566,-7.755,0.0477,80.839,4
93,It's Not Unusual,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,119413,0,0.454,0.518,0.675,0.0,0.189,-8.095,0.0562,92.06,4
94,Wooly Bully,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,139906,0,0.751,0.602,0.73,1.54e-06,0.23,-7.673,0.067,139.889,4
95,She's About A Mover,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,141840,0,0.203,0.665,0.871,2.8e-05,0.0493,-5.528,0.028,88.83,4
96,I Got You Babe,Mad Men: A Musical Companion (1960-1965),Various Artists,2011-01-01,190880,0,0.237,0.622,0.781,1.31e-06,0.0993,-6.103,0.0258,110.57,3
97,Everybody's Somebody's Fool,Mad Men: Betty Draper,Various Artists,2009-10-26,158760,0,0.666,0.474,0.706,2.06e-06,0.231,-5.868,0.0329,168.165,4
98,Too Many Secrets - Album Version (4-Star Master),Mad Men: Betty Draper,Various Artists,2009-10-26,136506,0,0.83,0.551,0.407,0.0,0.311,-6.284,0.0421,178.471,4
99,Blue Cinderella - Single Version,Mad Men: Betty Draper,Various Artists,2009-10-26,127120,0,0.674,0.661,0.455,0.00045,0.291,-11.252,0.0272,92.416,3
